id,Há quanto tempo está na empresa (meses),A empresa consulta o funcionário antes de promover mudanças no trabalho.,A empresa consulta o funcionário antes de promover mudanças no trabalho.,Os chefes têm um discurso condizente com suas ações,Os líderes demonstram respeito pelas ideias dos funcionários,Tenho confiança no trabalho dos demais membros,"Acho positivo quando comentam, criticam ou dão opinião sobre o meu trabalho","Em meu trabalho, contribuo ativamente para a felicidade e o bem-estar dos outros",A chefia da empresa dá liberdade de trabalho aos funcionários que se mostram seguros diante da tarefa a ser executada,Me sinto realizado quando a empresa alcança algum objetivo,Me sinto sobrecarregado(a) em minhas funções,Me considero uma pessoa pró-ativa dentro da empresa,Me sinto satisfeito com o salário e os benefícios que recebo dentro da MCH,Sinto que minhas habilidades e qualificações auxiliam no desempenho das minhas atividades,Os diretores têm clareza da direção e das metas definidas pela organização para o cumprimento das atividades sob sua responsabilidade,Gosto do trabalho que realizo,O trabalho que realizo é motivador e interessante,"Busco conhecimento das tarefas por iniciativa própria, observando e fazendo",Existe um diálogo claro no momento de delegação e de divisão de tarefas,"Por causa das demandas do meu trabalho, não consigo fazer as coisas que quero fazer em casa ",Existem pessoas ociosas na empresa,O ambiente de trabalho facilita o relacionamento entre os funcionários,No meu setor existe espírito de solidariedade entre as pessoas,Sou bem atendido quando preciso recorrer a outro setor,"Meus chefes falam diretamente comigo, não mandam recado pelos outros",Os chefes valorizam novas ideias e propostas criativas de trabalho feitas pelos seus colaboradores,A empresa foca no alinhamento da equipe em torno dos objetivos,A chefia mostra-se acessível aos funcionários,Eu sinto que deveria ser incluído na definição de metas e objetivos da empresa ,"Os funcionários são abertos a receber e reconhecer as críticas, opiniões e contribuições entre si",Elogio meus colegas pelas suas conquistas frequentemente,Me sinto recompensado pelo trabalho que realizo,A empresa estimula o trabalho em equipe,Os gerentes estimulam os funcionários dos grupos à participação na tomada de decisões,Há espírito de colaboração na equipe em que atuo,Sinto que meu trabalho contribui para os resultados do meu time,Sou competente na realização das minhas atividades profissionais,"Na empresa, o grupo se auxilia mutuamente",Sinto que a empresa suga minhas energias,A empresa mantém seguros os locais de trabalho,As lideranças da organização são resistentes a mudanças,Tenho liberdade para fazer o meu trabalho da forma como considero melhor,A chefia aceita ideias diferentes das dela,Clareza é uma característica nas atuações dos gestores ,Aviso meus colegas quando acho que eles cometeram um erro ao realizar uma atividade,Me sinto confortável em meu local de trabalho.,"No meu setor, existe um ambiente social agradável.",Me sinto confortável em pedir ajuda aos membros de outros setores.,"A empresa é aberta a receber e reconhecer as críticas, opiniões e contribuições de seus funcionários.",O diálogo é utilizado para resolver os problemas da empresa.,As atividades que desempenho permitem que eu faça bom uso de minhas qualificações e habilidades.,Os funcionários confiam no trabalho realizado pelos chefes,Eu me sinto usualmente incluído nos grupos sociais do dia a dia pelas outras pessoas.,Me considero um colaborador que veste a camisa da empresa.,A empresa fornece os equipamentos necessários ao desempenho eficaz., Busco novos conhecimentos que podem acrescentar no meu trabalho.,Sinto que sou valorizado e que posso fazer a diferença.,Entendo que a comunicação entre os setores é eficiente.,Sinto uma relação próxima e proporcional entre o meu sucesso e o sucesso da empresa.,Essa organização considera meus interesses quando toma decisões que me afetam.,A delegação de tarefas por parte da diretoria é feita de maneira eficiente.,"No meu setor, não existem intrigas entre pessoas.",Sou reconhecido pelos colegas de trabalho.,"Me sinto confortável em realizar críticas, comentários e dar opiniões sobre o trabalho dos demais membros.",A chefia me informa sobre os fatos importantes que estão acontecendo na empresa ,Os chefes estimulam a apresentação de novas ideias no trabalho.,Sou reconhecido pelos meus superiores,"No meu setor, há respeito de um pelo outro",Os chefes dão liberdade de trabalho aos funcionários que se mostram motivados para executar a tarefa,A quantidade de trabalho é considerada mais importante do que a sua qualidade,Considero que as pessoas trabalham felizes aqui na empresa,Os gerentes confiam no trabalho de seus colaboradores ,Existe um relacionamento de cooperação entre os departamentos da empresa,Meu local de trabalho dificulta a comunicação entre os setores da empresa,A chefia é receptiva às críticas relativas ao trabalho,Sou informado sobre as mudanças de processos que afetam o meu trabalho,Sinto que estou sendo bem orientado para os objetivos que a empresa gostaria que eu alcançasse,Apresento sugestões para melhorar o funcionamento do setor onde trabalho,As oportunidades de promoção que vejo pela frente são coerentes com os meus interesses,Há rigidez no cumprimentos dos prazos estabelecidos?, Sinto que minha equipe trabalha como um verdadeiro time,Sou capaz de cumprir minhas obrigações no trabalho,Geralmente conversa-se sobre coisas importantes que estão acontecendo nessa organização,Acho que este é um excelente lugar para se trabalhar,Identifico e ajo sobre procedimentos burocráticos que atrasam a realização das minhas tarefas,Os chefes cobram suficientemente para que eu alcance resultados no trabalho,Sou capaz de resolver problemas no meu trabalho,"Na empresa, há um clima de confiança entre os colegas de trabalho"
1,14,5,5,4,5,4,4,4,5,5,3,5,5,5,4,5,5,5,2,2,3,5,4,5,5,5,4,5,3,2,3,5,5,5,4,5,5,4,2,5,1,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,2,5,4,4,3,4,1,4,4,5,5,5,1,4,4,5,1,5,5,2,3,5,3,5,5,2,5,3,4,5,5
2,10,5,5,5,5,5,5,5,5,5,3,3,5,5,5,3,5,5,5,3,1,3,5,5,5,5,5,5,3,5,3,4,5,5,5,3,5,5,1,5,1,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,4,3,5,5,4,5,5,1,5,5,5,1,5,5,4,5,4,4,5,5,5,5,5,5,5,5
3,3,3,4,5,5,4,4,4,5,5,1,4,5,4,4,4,4,3,5,1,1,4,4,5,5,5,4,4,3,5,3,4,5,4,5,4,4,5,1,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,5,4,4,4,4,5,5,1,5,5,5,4,5,4,4,5,3,3,5,5,4,5,3,2,4,5
4,36,5,5,5,5,4,5,5,4,5,1,3,5,3,2,5,3,1,3,3,2,5,5,5,5,4,4,5,2,2,4,4,5,3,5,3,3,5,1,2,2,5,3,3,3,4,4,5,5,3,5,5,4,5,4,1,2,4,5,5,4,4,2,1,4,5,3,5,5,3,4,5,4,1,5,4,3,3,3,4,4,5,5,5,5,5,5,5
5,43,3,3,5,5,3,5,4,5,5,2,5,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,5,1,3,5,5,5,4,5,5,5,1,3,1,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,5,4,3,5,5,5,5,5,5,5,1,5,5,5,2,4,5,5,5,5,3,5,5,5,5,3,3,5,5
6,43,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,1,5,5,5,5,4,5,5,4,1,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,1,5,5,4,5,4,5,5,5,5,1,4,5,5,5,5,5,5,4
7,10,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,1,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,11,5,5,5,5,4,4,5,5,5,2,5,5,5,5,5,5,4,5,3,2,3,5,4,5,5,5,4,4,4,4,3,3,4,4,4,3,4,2,5,3,5,4,5,5,5,5,5,4,5,5,5,4,5,5,4,4,4,5,4,4,2,4,3,3,5,5,5,5,1,5,5,5,5,4,4,5,4,5,3,4,5,5,5,1,4,5,5
9,24,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,11,5,5,4,5,5,4,4,5,5,2,5,5,5,4,5,5,4,5,2,4,4,5,4,5,5,4,5,2,3,5,5,5,5,5,5,5,4,1,4,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,3,5,2,4,4,4,5,4,4,5,1,5,5,4,1,4,5,5,4,5,4,4,5,4,5,5,4,4,5
